Mês/Ano,Sexo,Faixa etária,Cor/raça,Escolaridade,Ocupação,Renda familiar (SM),Bairro,Zona,Saúde,Segurança Pública,Conservação Urbana e Patrimonial,Educação,Preservação ambiental,Assistência Social,Transportes,Saneamento básico,Fator de maior preocupação
01/2024,Masculino,30-39,Branca,Superior completo,Estudante,Até 1 SM,Guaratiba,Zona Oeste,Bom,Regular,Ruim,Ruim,Regular,Bom,Bom,Bom,saúde
01/2024,Masculino,30-39,Preta,Fundamental incompleto,Autônomo,Até 1 SM,Barros Filho,Zona Norte,Péssimo,Péssimo,Regular,Ruim,Ruim,Bom,Regular,Regular,crime e violência
01/2024,Feminino,60+,Preta,Médio completo,Desempregado,1–2 SM,Botafogo,Zona Sul,Ótimo,Ruim,Ruim,Péssimo,Regular,Ruim,Péssimo,Ruim,crime e violência
01/2024,Masculino,16-24,Branca,Médio completo,Autônomo,Até 1 SM,Ricardo De Albuquerque,Zona Norte,Péssimo,Péssimo,Regular,Regular,Péssimo,Bom,Regular,Péssimo,rede de transportes
01/2024,Masculino,40-49,Branca,Fundamental incompleto,Servidor público,1–2 SM,Jacaré,Zona Norte,Bom,Péssimo,Bom,Bom,Bom,Bom,Bom,Regular,pobreza e desigualdade
01/2024,Feminino,60+,Branca,Médio completo,Autônomo,1–2 SM,Barra De Guaratiba,Zona Oeste,Ruim,Regular,Regular,Regular,Ruim,Regular,Regular,Regular,questões climáticas
01/2024,Masculino,40-49,Branca,Superior completo,Aposentado,Até 1 SM,Grumari,Zona Oeste,Bom,Regular,Bom,Regular,Regular,Regular,Regular,Ruim,corrupção
01/2024,Masculino,60+,Parda,Superior completo,Estudante,5–10 SM,Lagoa,Zona Sul,Regular,Bom,Ruim,Regular,Regular,Ruim,Ótimo,Regular,pobreza e desigualdade
01/2024,Masculino,16-24,Parda,Fundamental incompleto,Autônomo,Até 1 SM,Centro,Centro,Bom,Regular,Péssimo,Regular,Ruim,Regular,Bom,Regular,rede de transportes
01/2024,Masculino,30-39,Parda,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Campo Dos Afonsos,Zona Oeste,Regular,Ruim,Regular,Regular,Bom,Regular,Bom,Péssimo,desemprego
01/2024,Feminino,25-29,Parda,Médio incompleto,Empregado s/ carteira,1–2 SM,Pilares,Zona Norte,Regular,Regular,Ruim,Regular,Bom,Regular,Bom,Ruim,corrupção
01/2024,Masculino,50-59,Branca,Superior completo,Aposentado,5–10 SM,Botafogo,Zona Sul,Regular,Ruim,Regular,Bom,Regular,Péssimo,Bom,Bom,crime e violência
01/2024,Feminino,60+,Branca,Fundamental incompleto,Empregado c/ carteira,5–10 SM,Sepetiba,Zona Oeste,Ótimo,Ruim,Ruim,Ótimo,Regular,Bom,Regular,Regular,desemprego
01/2024,Feminino,25-29,Parda,Superior incompleto,Autônomo,3–5 SM,Vargem Grande,Zona Oeste,Bom,Bom,Ruim,Bom,Ruim,Bom,Regular,Regular,pobreza e desigualdade
01/2024,Masculino,40-49,Branca,Fundamental incompleto,Estudante,3–5 SM,Quintino Bocaiúva,Zona Norte,Bom,Ruim,Ruim,Bom,Péssimo,Péssimo,Ruim,Péssimo,crime e violência
01/2024,Feminino,25-29,Parda,Médio completo,Empregado s/ carteira,Até 1 SM,Gericinó,Zona Oeste,Regular,Regular,Regular,Ruim,Bom,Péssimo,Regular,Péssimo,rede de transportes
01/2024,Masculino,40-49,Branca,Médio completo,Desempregado,Mais de 10 SM,Penha,Zona Norte,Ruim,Bom,Regular,Bom,Regular,Bom,Ruim,Ruim,crime e violência
01/2024,Masculino,30-39,Branca,Superior completo,Empregado c/ carteira,5–10 SM,Humaitá,Zona Sul,Ruim,Ruim,Ruim,Ruim,Regular,Bom,Regular,Regular,questões climáticas
01/2024,Feminino,60+,Indígena,Fundamental completo,Empregado c/ carteira,5–10 SM,Barra Da Tijuca,Zona Oeste,Bom,Regular,Bom,Regular,Péssimo,Regular,Bom,Ótimo,rede de transportes
01/2024,Feminino,40-49,Branca,Médio completo,Estudante,3–5 SM,Catete,Zona Sul,Regular,Ruim,Ruim,Bom,Péssimo,Ótimo,Regular,Regular,questões climáticas
01/2024,Feminino,30-39,Amarela,Fundamental completo,Empregado c/ carteira,2–3 SM,Vila Valqueire,Zona Oeste,Ruim,Regular,Péssimo,Ruim,Ruim,Regular,Ruim,Regular,pobreza e desigualdade
01/2024,Masculino,16-24,Amarela,Superior incompleto,Empregado c/ carteira,5–10 SM,Oswaldo Cruz,Zona Norte,Bom,Regular,Regular,Regular,Regular,Bom,Bom,Regular,questões climáticas
01/2024,Masculino,16-24,Parda,Superior completo,Aposentado,1–2 SM,Catete,Zona Sul,Regular,Ruim,Ruim,Bom,Bom,Bom,Bom,Regular,crime e violência
01/2024,Feminino,25-29,Parda,Fundamental incompleto,Empregado s/ carteira,3–5 SM,Inhoaíba,Zona Oeste,Regular,Regular,Ruim,Ruim,Regular,Regular,Regular,Regular,crime e violência
01/2024,Masculino,25-29,Parda,Superior completo,Empresário,Até 1 SM,Cavalcanti,Zona Norte,Bom,Regular,Regular,Ótimo,Regular,Péssimo,Regular,Péssimo,crime e violência
01/2024,Masculino,50-59,Preta,Médio completo,Empresário,5–10 SM,Jardim Sulacap,Zona Oeste,Ótimo,Bom,Regular,Bom,Ruim,Regular,Regular,Ótimo,corrupção
01/2024,Feminino,40-49,Branca,Fundamental incompleto,Empregado c/ carteira,1–2 SM,Padre Miguel,Zona Oeste,Bom,Ruim,Ruim,Ruim,Regular,Regular,Bom,Ruim,crime e violência
01/2024,Masculino,30-39,Parda,Médio completo,Empregado c/ carteira,1–2 SM,Cosme Velho,Zona Sul,Regular,Ótimo,Regular,Ruim,Ruim,Péssimo,Bom,Regular,corrupção
01/2024,Feminino,16-24,Parda,Fundamental completo,Estudante,3–5 SM,Realengo,Zona Oeste,Bom,Ruim,Bom,Bom,Regular,Regular,Regular,Ruim,pobreza e desigualdade
01/2024,Masculino,50-59,Branca,Superior incompleto,Autônomo,3–5 SM,Catete,Zona Sul,Bom,Regular,Ruim,Bom,Ruim,Regular,Regular,Regular,pobreza e desigualdade
01/2024,Feminino,50-59,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Oswaldo Cruz,Zona Norte,Regular,Regular,Regular,Ruim,Bom,Regular,Regular,Ótimo,rede de transportes
01/2024,Masculino,16-24,Branca,Fundamental incompleto,Estudante,1–2 SM,Vila Valqueire,Zona Oeste,Bom,Péssimo,Ruim,Regular,Bom,Bom,Regular,Bom,crime e violência
01/2024,Feminino,40-49,Parda,Médio completo,Empregado c/ carteira,Até 1 SM,Cidade Nova,Centro,Bom,Bom,Bom,Bom,Bom,Regular,Regular,Bom,desemprego
01/2024,Feminino,40-49,Preta,Superior completo,Aposentado,3–5 SM,Gávea,Zona Sul,Péssimo,Regular,Ótimo,Regular,Ruim,Regular,Bom,Bom,educação
01/2024,Masculino,16-24,Branca,Superior completo,Empregado c/ carteira,Mais de 10 SM,Higienópolis,Zona Norte,Ótimo,Ruim,Péssimo,Péssimo,Bom,Bom,Regular,Ruim,inflação
01/2024,Feminino,30-39,Preta,Médio completo,Empregado c/ carteira,5–10 SM,Parque Columbia,Zona Norte,Regular,Ruim,Bom,Ótimo,Ruim,Bom,Ótimo,Bom,pobreza e desigualdade
01/2024,Feminino,30-39,Parda,Pós-graduação,Empregado c/ carteira,2–3 SM,Vaz Lobo,Zona Norte,Regular,Regular,Ruim,Ruim,Bom,Regular,Regular,Regular,questões climáticas
01/2024,Feminino,16-24,Parda,Médio completo,Empresário,5–10 SM,Humaitá,Zona Sul,Regular,Regular,Ruim,Regular,Regular,Regular,Regular,Bom,educação
01/2024,Feminino,60+,Parda,Médio completo,Estudante,2–3 SM,Flamengo,Zona Sul,Regular,Ruim,Ruim,Regular,Péssimo,Bom,Bom,Regular,questões climáticas
01/2024,Feminino,50-59,Parda,Superior completo,Estudante,2–3 SM,Cosme Velho,Zona Sul,Bom,Ruim,Bom,Ruim,Regular,Bom,Bom,Ruim,crime e violência
01/2024,Feminino,40-49,Branca,Médio completo,Empregado s/ carteira,2–3 SM,Praça Seca,Zona Oeste,Ruim,Ruim,Regular,Péssimo,Bom,Péssimo,Bom,Regular,desemprego
01/2024,Masculino,30-39,Parda,Médio completo,Empregado s/ carteira,2–3 SM,Gávea,Zona Sul,Regular,Regular,Ruim,Bom,Bom,Regular,Bom,Regular,saúde
01/2024,Masculino,30-39,Branca,Médio completo,Empregado c/ carteira,5–10 SM,Vila Valqueire,Zona Oeste,Ruim,Péssimo,Regular,Bom,Péssimo,Bom,Regular,Ruim,crime e violência
01/2024,Masculino,40-49,Preta,Superior completo,Autônomo,2–3 SM,Méier,Zona Norte,Regular,Regular,Regular,Péssimo,Regular,Regular,Péssimo,Bom,educação
01/2024,Masculino,40-49,Indígena,Superior completo,Autônomo,1–2 SM,Anil,Zona Oeste,Péssimo,Ótimo,Regular,Regular,Regular,Bom,Regular,Ruim,saúde
01/2024,Masculino,16-24,Branca,Médio completo,Desempregado,1–2 SM,Saúde,Centro,Ruim,Regular,Bom,Regular,Regular,Ruim,Regular,Regular,educação
01/2024,Masculino,30-39,Branca,Médio completo,Empregado c/ carteira,Até 1 SM,Jardim Botânico,Zona Sul,Péssimo,Bom,Ruim,Regular,Regular,Ruim,Regular,Bom,crime e violência
01/2024,Feminino,50-59,Parda,Médio completo,Servidor público,3–5 SM,Realengo,Zona Oeste,Regular,Bom,Ruim,Ruim,Bom,Regular,Regular,Regular,rede de transportes
01/2024,Masculino,30-39,Branca,Médio completo,Empregado c/ carteira,1–2 SM,Joá,Zona Oeste,Regular,Bom,Péssimo,Ruim,Regular,Ruim,Péssimo,Bom,crime e violência
01/2024,Masculino,16-24,Preta,Fundamental completo,Empresário,1–2 SM,Rio Comprido,Centro,Ruim,Bom,Regular,Péssimo,Ruim,Bom,Ruim,Ruim,saúde
01/2024,Feminino,50-59,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Joá,Zona Oeste,Ruim,Regular,Ruim,Regular,Bom,Ruim,Ruim,Ótimo,crime e violência
01/2024,Masculino,25-29,Branca,Médio completo,Autônomo,3–5 SM,Engenheiro Leal,Zona Norte,Péssimo,Bom,Bom,Bom,Ruim,Bom,Péssimo,Bom,crime e violência
01/2024,Feminino,25-29,Amarela,Médio completo,Empregado s/ carteira,3–5 SM,Caju,Centro,Regular,Bom,Regular,Regular,Ruim,Regular,Bom,Regular,crime e violência
01/2024,Masculino,16-24,Parda,Fundamental incompleto,Autônomo,2–3 SM,Jardim Botânico,Zona Sul,Ruim,Bom,Regular,Regular,Péssimo,Péssimo,Regular,Regular,rede de transportes
01/2024,Feminino,30-39,Preta,Fundamental completo,Autônomo,5–10 SM,Jardim América,Zona Norte,Bom,Bom,Péssimo,Regular,Bom,Regular,Ruim,Ruim,questões climáticas
01/2024,Feminino,50-59,Branca,Superior completo,Autônomo,5–10 SM,Senador Camará,Zona Oeste,Regular,Bom,Ruim,Regular,Regular,Péssimo,Regular,Bom,crime e violência
01/2024,Masculino,30-39,Parda,Médio incompleto,Autônomo,5–10 SM,Jardim Sulacap,Zona Oeste,Bom,Regular,Péssimo,Bom,Ruim,Bom,Péssimo,Ruim,crime e violência
01/2024,Masculino,25-29,Parda,Fundamental completo,Estudante,3–5 SM,Maria Da Graça,Zona Norte,Regular,Péssimo,Ruim,Regular,Bom,Regular,Bom,Péssimo,pobreza e desigualdade
01/2024,Feminino,50-59,Parda,Médio completo,Desempregado,1–2 SM,Rio Comprido,Centro,Péssimo,Ruim,Ruim,Regular,Ótimo,Bom,Regular,Regular,saúde
01/2024,Feminino,50-59,Parda,Médio incompleto,Aposentado,Mais de 10 SM,Barra De Guaratiba,Zona Oeste,Bom,Ruim,Bom,Ruim,Ruim,Regular,Péssimo,Ruim,corrupção
01/2024,Feminino,50-59,Parda,Sem instrução,Empregado c/ carteira,1–2 SM,Lagoa,Zona Sul,Regular,Bom,Ruim,Regular,Regular,Bom,Regular,Regular,pobreza e desigualdade
01/2024,Feminino,25-29,Branca,Médio incompleto,Desempregado,1–2 SM,Penha Circular,Zona Norte,Regular,Bom,Regular,Bom,Regular,Bom,Ruim,Bom,educação
01/2024,Masculino,30-39,Branca,Médio completo,Autônomo,2–3 SM,Realengo,Zona Oeste,Bom,Bom,Regular,Regular,Regular,Bom,Ótimo,Regular,crime e violência
01/2024,Masculino,60+,Parda,Médio completo,Empregado s/ carteira,Até 1 SM,Oswaldo Cruz,Zona Norte,Regular,Ruim,Bom,Ruim,Ruim,Ruim,Regular,Bom,pobreza e desigualdade
01/2024,Masculino,50-59,Branca,Médio completo,Autônomo,Mais de 10 SM,Jardim Botânico,Zona Sul,Regular,Bom,Regular,Regular,Regular,Bom,Péssimo,Péssimo,pobreza e desigualdade
01/2024,Feminino,16-24,Parda,Médio completo,Empregado c/ carteira,3–5 SM,Deodoro,Zona Oeste,Bom,Regular,Regular,Regular,Ruim,Ruim,Regular,Bom,saúde
01/2024,Feminino,16-24,Branca,Pós-graduação,Empregado c/ carteira,3–5 SM,Praça Seca,Zona Oeste,Ruim,Bom,Regular,Regular,Regular,Bom,Ótimo,Regular,inflação
01/2024,Masculino,30-39,Parda,Médio completo,Empregado c/ carteira,3–5 SM,Jardim América,Zona Norte,Péssimo,Bom,Regular,Bom,Regular,Ótimo,Ótimo,Bom,desemprego
01/2024,Masculino,60+,Parda,Médio incompleto,Empregado c/ carteira,2–3 SM,Colégio,Zona Norte,Bom,Péssimo,Péssimo,Ruim,Regular,Regular,Ruim,Regular,corrupção
01/2024,Masculino,30-39,Branca,Fundamental completo,Desempregado,Até 1 SM,Mangueira,Zona Norte,Bom,Ruim,Ruim,Bom,Bom,Péssimo,Ruim,Bom,corrupção
01/2024,Masculino,30-39,Branca,Médio completo,Desempregado,3–5 SM,Méier,Zona Norte,Regular,Ruim,Regular,Regular,Regular,Bom,Bom,Ruim,crime e violência
01/2024,Feminino,16-24,Branca,Superior completo,Servidor público,3–5 SM,Jacarepaguá,Zona Oeste,Ruim,Regular,Regular,Bom,Regular,Bom,Bom,Bom,desemprego
01/2024,Feminino,40-49,Parda,Fundamental completo,Estudante,2–3 SM,Paciência,Zona Oeste,Bom,Ruim,Bom,Bom,Péssimo,Ruim,Ruim,Ruim,educação
01/2024,Feminino,50-59,Preta,Superior incompleto,Empregado c/ carteira,3–5 SM,Recreio Dos Bandeirantes,Zona Oeste,Ótimo,Regular,Regular,Regular,Regular,Regular,Ruim,Ruim,inflação
01/2024,Masculino,30-39,Branca,Sem instrução,Aposentado,1–2 SM,Gericinó,Zona Oeste,Regular,Péssimo,Bom,Regular,Regular,Ruim,Bom,Regular,crime e violência
01/2024,Masculino,50-59,Parda,Médio completo,Aposentado,1–2 SM,Praça Da Bandeira,Zona Norte,Péssimo,Bom,Péssimo,Ruim,Regular,Bom,Regular,Bom,desemprego
01/2024,Feminino,60+,Branca,Superior completo,Autônomo,1–2 SM,Engenho Novo,Zona Norte,Regular,Regular,Regular,Ruim,Ruim,Regular,Ruim,Bom,rede de transportes
01/2024,Feminino,25-29,Parda,Médio completo,Autônomo,2–3 SM,Pavuna,Zona Norte,Regular,Regular,Bom,Ruim,Regular,Bom,Regular,Ruim,crime e violência
01/2024,Feminino,30-39,Preta,Médio completo,Empresário,5–10 SM,Laranjeiras,Zona Sul,Péssimo,Regular,Regular,Regular,Bom,Regular,Péssimo,Bom,rede de transportes
01/2024,Feminino,25-29,Branca,Fundamental completo,Autônomo,5–10 SM,Tanque,Zona Oeste,Regular,Ruim,Regular,Regular,Ruim,Ruim,Regular,Bom,inflação
01/2024,Feminino,50-59,Parda,Superior incompleto,Servidor público,2–3 SM,Jacarezinho,Zona Norte,Ruim,Péssimo,Regular,Regular,Regular,Ruim,Regular,Regular,inflação
01/2024,Feminino,40-49,Branca,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Cacuia,Zona Norte,Regular,Regular,Ótimo,Regular,Regular,Regular,Regular,Bom,desemprego
01/2024,Masculino,40-49,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Ipanema,Zona Sul,Péssimo,Regular,Péssimo,Regular,Regular,Péssimo,Péssimo,Bom,crime e violência
01/2024,Masculino,50-59,Branca,Fundamental completo,Autônomo,1–2 SM,Vidigal,Zona Sul,Regular,Regular,Bom,Péssimo,Ruim,Bom,Regular,Regular,saúde
01/2024,Masculino,30-39,Branca,Superior completo,Autônomo,1–2 SM,Copacabana,Zona Sul,Ruim,Ruim,Ótimo,Bom,Regular,Bom,Bom,Regular,rede de transportes
01/2024,Masculino,60+,Parda,Médio completo,Aposentado,Mais de 10 SM,Padre Miguel,Zona Oeste,Regular,Regular,Bom,Péssimo,Ótimo,Regular,Regular,Bom,pobreza e desigualdade
01/2024,Feminino,30-39,Branca,Superior incompleto,Empresário,3–5 SM,Manguinhos,Zona Norte,Ruim,Ótimo,Regular,Bom,Ruim,Regular,Ruim,Regular,crime e violência
01/2024,Masculino,16-24,Parda,Médio incompleto,Empregado s/ carteira,Mais de 10 SM,Caju,Centro,Bom,Regular,Bom,Regular,Bom,Ótimo,Regular,Regular,crime e violência
01/2024,Feminino,40-49,Branca,Superior completo,Empregado c/ carteira,2–3 SM,Jardim Botânico,Zona Sul,Regular,Ótimo,Ótimo,Bom,Ruim,Regular,Regular,Ruim,crime e violência
01/2024,Feminino,50-59,Branca,Fundamental incompleto,Estudante,3–5 SM,Complexo Do Alemão,Zona Norte,Ruim,Ruim,Regular,Regular,Bom,Regular,Regular,Bom,desemprego
01/2024,Masculino,30-39,Parda,Fundamental completo,Desempregado,1–2 SM,Leblon,Zona Sul,Bom,Regular,Regular,Bom,Regular,Ruim,Bom,Regular,crime e violência
01/2024,Masculino,50-59,Preta,Médio completo,Empregado c/ carteira,1–2 SM,Ipanema,Zona Sul,Regular,Regular,Bom,Ruim,Bom,Ruim,Ótimo,Regular,crime e violência
01/2024,Feminino,60+,Branca,Fundamental incompleto,Autônomo,2–3 SM,Vaz Lobo,Zona Norte,Bom,Ruim,Regular,Ruim,Regular,Regular,Bom,Regular,pobreza e desigualdade
01/2024,Masculino,25-29,Preta,Fundamental completo,Estudante,1–2 SM,Praça Seca,Zona Oeste,Ruim,Ótimo,Regular,Regular,Regular,Ótimo,Regular,Bom,corrupção
01/2024,Masculino,60+,Parda,Superior completo,Estudante,1–2 SM,Manguinhos,Zona Norte,Bom,Bom,Bom,Regular,Bom,Regular,Ruim,Ótimo,crime e violência
01/2024,Masculino,16-24,Parda,Pós-graduação,Autônomo,1–2 SM,Praia Da Bandeira,Zona Norte,Ruim,Regular,Regular,Péssimo,Regular,Ruim,Ruim,Ruim,crime e violência
01/2024,Masculino,25-29,Parda,Médio completo,Empregado c/ carteira,Até 1 SM,São Conrado,Zona Sul,Regular,Bom,Bom,Ruim,Péssimo,Bom,Péssimo,Regular,crime e violência
01/2024,Feminino,25-29,Branca,Superior completo,Empresário,3–5 SM,Encantado,Zona Norte,Bom,Regular,Ótimo,Regular,Regular,Regular,Regular,Regular,rede de transportes
01/2024,Feminino,60+,Branca,Médio completo,Desempregado,2–3 SM,Cosme Velho,Zona Sul,Regular,Péssimo,Regular,Ruim,Ruim,Péssimo,Ruim,Péssimo,crime e violência
01/2024,Feminino,40-49,Parda,Médio incompleto,Empregado s/ carteira,Até 1 SM,Santa Teresa,Centro,Bom,Ruim,Bom,Regular,Péssimo,Bom,Bom,Regular,educação
01/2024,Feminino,16-24,Branca,Superior incompleto,Empregado c/ carteira,1–2 SM,Rocha Miranda,Zona Norte,Regular,Ruim,Bom,Regular,Péssimo,Bom,Bom,Regular,crime e violência
01/2024,Feminino,30-39,Preta,Superior incompleto,Estudante,Até 1 SM,Santa Cruz,Zona Oeste,Regular,Péssimo,Regular,Regular,Ruim,Bom,Bom,Bom,crime e violência
01/2024,Masculino,40-49,Branca,Pós-graduação,Empregado c/ carteira,3–5 SM,Urca,Zona Sul,Bom,Regular,Péssimo,Regular,Regular,Regular,Regular,Péssimo,pobreza e desigualdade
01/2024,Feminino,16-24,Branca,Médio incompleto,Empregado c/ carteira,Até 1 SM,Leblon,Zona Sul,Péssimo,Bom,Ruim,Bom,Péssimo,Péssimo,Bom,Regular,crime e violência
01/2024,Feminino,60+,Parda,Superior incompleto,Autônomo,3–5 SM,Flamengo,Zona Sul,Ótimo,Bom,Ruim,Regular,Ruim,Regular,Bom,Regular,crime e violência
01/2024,Feminino,50-59,Branca,Fundamental incompleto,Empregado c/ carteira,Até 1 SM,Marechal Hermes,Zona Norte,Regular,Ruim,Ruim,Regular,Ruim,Regular,Regular,Regular,pobreza e desigualdade
01/2024,Feminino,30-39,Parda,Fundamental incompleto,Desempregado,1–2 SM,Itanhangá,Zona Oeste,Regular,Regular,Péssimo,Péssimo,Ótimo,Regular,Regular,Ruim,pobreza e desigualdade
01/2024,Masculino,60+,Parda,Sem instrução,Empregado c/ carteira,5–10 SM,Jardim Sulacap,Zona Oeste,Regular,Bom,Ruim,Péssimo,Péssimo,Regular,Regular,Ruim,desemprego
01/2024,Masculino,30-39,Preta,Pós-graduação,Desempregado,3–5 SM,Centro,Centro,Regular,Regular,Regular,Regular,Ruim,Regular,Regular,Bom,crime e violência
01/2024,Masculino,60+,Parda,Superior completo,Empregado c/ carteira,Até 1 SM,Bancários,Zona Norte,Regular,Regular,Regular,Regular,Ruim,Bom,Bom,Regular,saúde
01/2024,Masculino,40-49,Parda,Superior completo,Empregado c/ carteira,5–10 SM,Santo Cristo,Centro,Ruim,Regular,Bom,Bom,Bom,Regular,Bom,Regular,saúde
01/2024,Feminino,40-49,Parda,Médio completo,Empregado c/ carteira,2–3 SM,Anchieta,Zona Norte,Regular,Ruim,Regular,Regular,Bom,Regular,Bom,Ótimo,desemprego
01/2024,Feminino,16-24,Preta,Médio incompleto,Servidor público,5–10 SM,Santa Teresa,Centro,Bom,Regular,Péssimo,Bom,Péssimo,Ótimo,Bom,Ruim,pobreza e desigualdade
01/2024,Masculino,60+,Branca,Fundamental completo,Aposentado,3–5 SM,Botafogo,Zona Sul,Regular,Péssimo,Regular,Bom,Regular,Regular,Regular,Bom,saúde
01/2024,Feminino,30-39,Branca,Médio incompleto,Empregado c/ carteira,3–5 SM,Gardênia Azul,Zona Oeste,Bom,Regular,Ruim,Regular,Regular,Péssimo,Ruim,Regular,crime e violência
01/2024,Masculino,16-24,Branca,Médio completo,Estudante,Mais de 10 SM,Barra De Guaratiba,Zona Oeste,Ótimo,Ruim,Regular,Regular,Ruim,Regular,Regular,Regular,crime e violência
01/2024,Masculino,16-24,Branca,Superior completo,Desempregado,1–2 SM,Abolição,Zona Norte,Regular,Péssimo,Regular,Ótimo,Bom,Péssimo,Regular,Regular,crime e violência
01/2024,Masculino,40-49,Parda,Médio completo,Empresário,3–5 SM,Del Castilho,Zona Norte,Regular,Péssimo,Regular,Ruim,Regular,Bom,Ruim,Regular,inflação
01/2024,Masculino,30-39,Parda,Fundamental incompleto,Empregado s/ carteira,2–3 SM,Quintino Bocaiúva,Zona Norte,Regular,Bom,Regular,Regular,Regular,Ruim,Bom,Péssimo,pobreza e desigualdade
01/2024,Feminino,40-49,Parda,Sem instrução,Desempregado,Até 1 SM,Rocha Miranda,Zona Norte,Ruim,Bom,Regular,Bom,Regular,Bom,Bom,Regular,inflação
01/2024,Masculino,60+,Branca,Fundamental incompleto,Empregado c/ carteira,Até 1 SM,Vicente De Carvalho,Zona Norte,Regular,Regular,Ruim,Bom,Regular,Bom,Regular,Bom,crime e violência
01/2024,Feminino,16-24,Parda,Médio completo,Empregado s/ carteira,Até 1 SM,Leblon,Zona Sul,Regular,Regular,Ruim,Bom,Bom,Regular,Regular,Regular,inflação
01/2024,Feminino,50-59,Branca,Superior completo,Empresário,3–5 SM,Sepetiba,Zona Oeste,Bom,Regular,Ruim,Bom,Bom,Regular,Regular,Bom,inflação
01/2024,Masculino,25-29,Parda,Médio completo,Autônomo,3–5 SM,Engenho Da Rainha,Zona Norte,Regular,Péssimo,Bom,Ruim,Regular,Ruim,Ruim,Bom,inflação
01/2024,Feminino,50-59,Parda,Superior completo,Empregado c/ carteira,3–5 SM,Botafogo,Zona Sul,Regular,Bom,Ruim,Regular,Péssimo,Regular,Bom,Bom,corrupção
01/2024,Feminino,50-59,Branca,Médio completo,Empregado c/ carteira,Até 1 SM,Padre Miguel,Zona Oeste,Regular,Regular,Regular,Ruim,Regular,Regular,Regular,Ótimo,saúde
01/2024,Masculino,40-49,Branca,Médio completo,Estudante,2–3 SM,Cidade Nova,Centro,Ruim,Bom,Regular,Bom,Bom,Péssimo,Bom,Regular,questões climáticas
